1728,closed,XXX,neurodynamic,28/08/2016,28/08/2016,Null
1726,closed,XXX,ghost,27/08/2016,27/08/2016,Null
1725,closed,XXX,showell,27/08/2016,27/08/2016,Null
1724,closed,XXX,ghost,27/08/2016,27/08/2016,Null
1722,closed,XXX,rishig,26/08/2016,26/08/2016,Null
1719,closed,XXX,brockwhittaker,26/08/2016,27/08/2016,Null
1716,open,XXX,timabbott,26/08/2016,Null,Null
1711,closed,XXX,brockwhittaker,26/08/2016,27/09/2016,Null
1708,open,XXX,TomaszKolek,25/08/2016,Null,Null
1703,closed,XXX,showell,25/08/2016,25/08/2016,Null
1702,closed,XXX,timabbott,25/08/2016,25/08/2016,25/08/2016
1701,closed,XXX,showell,25/08/2016,25/08/2016,Null
1700,closed,XXX,showell,25/08/2016,26/08/2016,Null
1699,closed,XXX,brockwhittaker,24/08/2016,26/08/2016,Null
1695,closed,XXX,showell,24/08/2016,24/08/2016,24/08/2016
1694,closed,XXX,ragsagar,24/08/2016,25/08/2016,Null
1693,closed,XXX,brockwhittaker,24/08/2016,26/08/2016,Null
1692,open,XXX,brockwhittaker,23/08/2016,Null,Null
1689,closed,XXX,TomaszKolek,23/08/2016,25/08/2016,Null
1688,closed,XXX,brockwhittaker,23/08/2016,20/09/2016,Null
1687,closed,XXX,brockwhittaker,23/08/2016,26/08/2016,Null
1685,closed,XXX,timabbott,23/08/2016,25/08/2016,Null
1683,closed,XXX,showell,23/08/2016,27/08/2016,Null
1676,closed,XXX,showell,23/08/2016,23/08/2016,Null
1675,closed,XXX,brockwhittaker,23/08/2016,26/08/2016,Null
1674,closed,XXX,brockwhittaker,23/08/2016,27/08/2016,Null
1668,open,XXX,krtkmj,22/08/2016,Null,Null
1665,closed,XXX,Aahanbhatt,20/08/2016,25/08/2016,Null
1664,closed,XXX,showell,20/08/2016,23/08/2016,Null
1660,closed,XXX,brockwhittaker,19/08/2016,26/09/2016,Null
1658,closed,XXX,showell,18/08/2016,19/08/2016,Null
1652,closed,XXX,showell,18/08/2016,18/08/2016,Null
1651,closed,XXX,christi3k,18/08/2016,18/08/2016,Null
1647,closed,XXX,showell,18/08/2016,18/08/2016,Null
1646,closed,XXX,showell,18/08/2016,18/08/2016,Null
1645,closed,XXX,showell,18/08/2016,18/08/2016,Null
1643,closed,XXX,christi3k,18/08/2016,25/08/2016,Null
1642,closed,XXX,brockwhittaker,18/08/2016,18/08/2016,Null
1640,closed,XXX,showell,17/08/2016,23/08/2016,Null
1639,closed,XXX,umairwaheed,17/08/2016,16/09/2016,Null
1637,closed,XXX,christi3k,17/08/2016,17/08/2016,Null
1636,open,XXX,umkay,16/08/2016,Null,Null
1635,open,XXX,brockwhittaker,16/08/2016,Null,Null
1632,closed,XXX,brockwhittaker,16/08/2016,16/08/2016,Null
1631,closed,XXX,showell,16/08/2016,18/08/2016,Null
1630,closed,XXX,brockwhittaker,16/08/2016,16/08/2016,Null
1629,closed,XXX,brockwhittaker,15/08/2016,15/08/2016,Null
1622,closed,XXX,brainwane,15/08/2016,16/08/2016,Null
1621,closed,XXX,brainwane,15/08/2016,16/08/2016,Null
1620,open,XXX,brainwane,14/08/2016,Null,Null
1619,closed,XXX,showell,14/08/2016,16/08/2016,Null
1618,closed,XXX,showell,14/08/2016,23/08/2016,Null
1617,open,XXX,krtkmj,13/08/2016,Null,Null
1616,closed,XXX,showell,13/08/2016,15/08/2016,Null
1615,closed,XXX,brainwane,13/08/2016,18/08/2016,Null
1614,closed,XXX,TroJan,13/08/2016,15/08/2016,Null
1613,closed,XXX,TroJan,13/08/2016,19/08/2016,Null
1612,closed,XXX,rishig,13/08/2016,13/08/2016,Null
1610,closed,XXX,umkay,13/08/2016,16/08/2016,Null
1609,closed,XXX,umkay,12/08/2016,13/08/2016,Null
