// ID,State,Author,Comment Amount,Date (Open),Date (Close),Date (Merge)
// Date pattern: DD/MM/YYYY
// Pulls from Repository: https://github.com/github/hubot

1011,closed,XXX,sdimkov,22/07/2015,12/08/2015,12/08/2015
1007,closed,XXX,MyvarHD,11/07/2015,13/07/2015,13/07/2015
1006,closed,XXX,jennifersmith,09/07/2015,10/07/2015,10/07/2015
1005,closed,XXX,bkeepers,08/07/2015,20/07/2015,20/07/2015
1004,closed,XXX,sdimkov,06/07/2015,17/07/2015,17/07/2015
1003,closed,XXX,sdimkov,04/07/2015,24/08/2015,24/08/2015
1000,closed,XXX,J-tt,02/07/2015,17/07/2015,Null
999,closed,XXX,sdimkov,01/07/2015,02/07/2015,02/07/2015
996,open,XXX,lukefx,29/06/2015,Null,Null
994,closed,XXX,whichcoder,26/06/2015,26/06/2015,Null
993,closed,XXX,arcturial,26/06/2015,06/07/2015,06/07/2015
991,closed,XXX,jexe,24/06/2015,24/06/2015,24/06/2015
986,closed,XXX,michaelansel,18/06/2015,24/08/2015,24/08/2015
984,closed,XXX,uugengiven,15/06/2015,24/08/2015,24/08/2015
982,closed,XXX,bkeepers,15/06/2015,20/06/2015,20/06/2015
981,closed,XXX,michaelansel,12/06/2015,12/06/2015,12/06/2015
980,closed,XXX,jasonkarns,12/06/2015,12/06/2015,12/06/2015
978,open,XXX,jasonkarns,11/06/2015,Null,Null
975,closed,XXX,michaelansel,10/06/2015,10/06/2015,10/06/2015
974,closed,XXX,bhuga,09/06/2015,10/06/2015,10/06/2015
973,closed,XXX,Sing-Li,09/06/2015,09/06/2015,09/06/2015
971,closed,XXX,geoffreyanderson,09/06/2015,22/06/2015,22/06/2015
970,closed,XXX,bkeepers,08/06/2015,06/05/2016,06/05/2016
969,closed,XXX,technicalpickles,08/06/2015,09/06/2015,09/06/2015
967,closed,XXX,sdimkov,06/06/2015,08/06/2015,08/06/2015
966,closed,XXX,gjtorikian,05/06/2015,05/06/2015,05/06/2015
964,closed,XXX,technicalpickles,05/06/2015,05/06/2015,05/06/2015
962,closed,XXX,bkeepers,05/06/2015,05/06/2015,05/06/2015
961,closed,XXX,bkeepers,04/06/2015,04/06/2015,04/06/2015
959,closed,XXX,bkeepers,03/06/2015,04/06/2015,04/06/2015
958,closed,XXX,pdoconnell,03/06/2015,03/06/2015,Null
956,closed,XXX,bkeepers,03/06/2015,05/06/2015,05/06/2015
955,closed,XXX,praseodym,01/06/2015,10/06/2015,10/06/2015
951,closed,XXX,pdehaan,23/05/2015,01/06/2015,01/06/2015
949,open,XXX,fcsonline,22/05/2015,Null,Null
947,closed,XXX,pauliwang,21/05/2015,26/05/2015,26/05/2015
945,closed,XXX,adamgross42,17/05/2015,04/06/2015,04/06/2015
944,closed,XXX,adamgross42,17/05/2015,26/05/2015,26/05/2015
943,closed,XXX,adamgross42,17/05/2015,17/05/2015,Null
942,closed,XXX,adamgross42,17/05/2015,26/05/2015,26/05/2015
938,closed,XXX,ta1kt0me,09/05/2015,08/06/2015,08/06/2015
937,closed,XXX,chuej,08/05/2015,13/05/2015,Null
936,closed,XXX,nounoursheureux,07/05/2015,19/06/2015,Null
935,closed,XXX,jcbantuelle,07/05/2015,14/05/2015,14/05/2015
933,closed,XXX,MaitreyaBuddha,01/05/2015,01/05/2015,Null
931,closed,XXX,petedmarsh,29/04/2015,08/06/2015,08/06/2015
930,closed,XXX,jtallant,29/04/2015,29/04/2015,Null
929,closed,XXX,sdimkov,28/04/2015,28/04/2015,28/04/2015
927,closed,XXX,sdimkov,26/04/2015,08/06/2015,08/06/2015
926,closed,XXX,michaelansel,23/04/2015,27/04/2015,27/04/2015
924,closed,XXX,bhuga,20/04/2015,05/06/2015,Null
922,closed,XXX,sdimkov,19/04/2015,19/06/2015,Null
921,open,XXX,shokai,15/04/2015,Null,Null
920,closed,XXX,caseymrm,14/04/2015,19/04/2015,Null
918,closed,XXX,ChrisLundquist,10/04/2015,10/04/2015,10/04/2015
917,open,XXX,cycomachead,06/04/2015,Null,Null
915,closed,XXX,technicalpickles,03/04/2015,03/04/2015,03/04/2015
914,closed,XXX,technicalpickles,03/04/2015,03/04/2015,03/04/2015
911,closed,XXX,ravikiranj,27/03/2015,27/03/2015,Null
910,closed,XXX,lekansogunle,26/03/2015,26/03/2015,Null
909,closed,XXX,lekansogunle,26/03/2015,26/03/2015,Null
908,closed,XXX,keithduncan,25/03/2015,03/04/2015,03/04/2015
906,closed,XXX,technicalpickles,23/03/2015,23/03/2015,23/03/2015
905,closed,XXX,technicalpickles,23/03/2015,23/03/2015,23/03/2015
903,closed,XXX,michaelansel,22/03/2015,05/06/2015,05/06/2015
900,open,XXX,Taytay,18/03/2015,Null,Null
899,closed,XXX,Taytay,18/03/2015,03/04/2015,03/04/2015
898,closed,XXX,100ideas,18/03/2015,23/03/2015,23/03/2015
897,closed,XXX,100ideas,17/03/2015,17/03/2015,Null
893,closed,XXX,rwitchell,16/03/2015,18/03/2015,Null
890,closed,XXX,ricardopolo,15/03/2015,18/03/2015,Null
889,closed,XXX,mcmahoniel,15/03/2015,18/03/2015,18/03/2015
888,closed,XXX,geoffreyanderson,13/03/2015,03/04/2015,03/04/2015
887,closed,XXX,technicalpickles,13/03/2015,13/03/2015,13/03/2015
886,closed,XXX,technicalpickles,13/03/2015,13/03/2015,13/03/2015
885,closed,XXX,technicalpickles,13/03/2015,13/03/2015,13/03/2015
884,closed,XXX,michaelansel,13/03/2015,05/06/2015,05/06/2015
883,closed,XXX,leefaus,13/03/2015,19/03/2015,19/03/2015
882,closed,XXX,technicalpickles,13/03/2015,13/03/2015,13/03/2015
881,closed,XXX,technicalpickles,13/03/2015,13/03/2015,13/03/2015
879,closed,XXX,technicalpickles,12/03/2015,12/03/2015,12/03/2015
877,closed,XXX,technicalpickles,09/03/2015,13/03/2015,13/03/2015
876,closed,XXX,technicalpickles,07/03/2015,07/03/2015,07/03/2015
871,open,XXX,michaelansel,24/02/2015,Null,Null
870,closed,XXX,technicalpickles,20/02/2015,20/02/2015,20/02/2015
869,closed,XXX,afeld,17/02/2015,17/02/2015,17/02/2015
868,open,XXX,michaelansel,17/02/2015,Null,Null
867,closed,XXX,technicalpickles,17/02/2015,17/02/2015,17/02/2015
865,closed,XXX,hhaidar,15/02/2015,17/02/2015,17/02/2015
864,closed,XXX,michaelansel,14/02/2015,20/02/2015,20/02/2015
863,closed,XXX,silasb,12/02/2015,23/02/2015,Null
861,closed,XXX,SuriyaaKudoIsc,08/02/2015,20/02/2015,Null
860,closed,XXX,danilovaz,08/02/2015,20/02/2015,Null
857,closed,XXX,ablwr,01/02/2015,11/02/2015,11/02/2015
856,closed,XXX,technicalpickles,30/01/2015,30/01/2015,30/01/2015
849,closed,XXX,anroots,22/01/2015,23/01/2015,23/01/2015
848,closed,XXX,aroben,22/01/2015,17/02/2015,17/02/2015
842,closed,XXX,xrd,29/12/2014,05/01/2015,05/01/2015
841,closed,XXX,afeld,27/12/2014,17/02/2015,Null
840,closed,XXX,technicalpickles,22/12/2014,22/12/2014,22/12/2014
839,closed,XXX,todd,22/12/2014,07/03/2015,07/03/2015
837,closed,XXX,technicalpickles,22/12/2014,22/12/2014,22/12/2014
836,closed,XXX,technicalpickles,22/12/2014,22/12/2014,22/12/2014
835,closed,XXX,technicalpickles,19/12/2014,22/12/2014,22/12/2014
832,closed,XXX,brianshumate,16/12/2014,19/12/2014,19/12/2014
831,closed,XXX,kballard,15/12/2014,22/12/2014,22/12/2014
825,closed,XXX,technicalpickles,05/12/2014,05/12/2014,05/12/2014
824,closed,XXX,keithduncan,04/12/2014,05/12/2014,05/12/2014
821,closed,XXX,cameronmcefee,21/11/2014,11/12/2014,Null
820,closed,XXX,stkent,20/11/2014,20/11/2014,20/11/2014
819,closed,XXX,akiomik,19/11/2014,25/11/2014,25/11/2014
818,closed,XXX,JrGoodle,13/11/2014,17/11/2014,17/11/2014
817,closed,XXX,TheIronMarx,07/11/2014,07/11/2014,07/11/2014
816,closed,XXX,benodom,06/11/2014,06/11/2014,06/11/2014
814,closed,XXX,technicalpickles,01/11/2014,07/11/2014,07/11/2014
810,closed,XXX,technicalpickles,29/10/2014,29/10/2014,29/10/2014
809,closed,XXX,technicalpickles,29/10/2014,29/10/2014,29/10/2014
808,closed,XXX,technicalpickles,29/10/2014,29/10/2014,29/10/2014
807,closed,XXX,miquelp,29/10/2014,29/10/2014,Null
806,closed,XXX,tombell,27/10/2014,29/10/2014,29/10/2014
805,closed,XXX,MrSaints,26/10/2014,27/10/2014,27/10/2014
803,closed,XXX,michaelansel,25/10/2014,30/07/2015,30/07/2015
802,closed,XXX,technicalpickles,23/10/2014,23/10/2014,23/10/2014
801,closed,XXX,michaelansel,23/10/2014,05/06/2015,05/06/2015
800,closed,XXX,technicalpickles,23/10/2014,05/12/2014,05/12/2014
797,closed,XXX,technicalpickles,20/10/2014,21/10/2014,21/10/2014
796,closed,XXX,technicalpickles,20/10/2014,20/10/2014,20/10/2014
795,closed,XXX,rantrix,19/10/2014,29/10/2014,29/10/2014
794,closed,XXX,ahayworth,16/10/2014,29/10/2014,29/10/2014
793,closed,XXX,technicalpickles,16/10/2014,16/10/2014,16/10/2014
792,closed,XXX,technicalpickles,16/10/2014,16/10/2014,Null
791,closed,XXX,aroben,16/10/2014,16/10/2014,16/10/2014
790,closed,XXX,edsfocci,16/10/2014,20/10/2014,Null
789,closed,XXX,edsfocci,14/10/2014,21/10/2014,Null
788,closed,XXX,kevinsimper,11/10/2014,13/02/2015,13/02/2015
784,closed,XXX,sethjackson,08/10/2014,08/10/2014,08/10/2014
782,closed,XXX,Dr--Feelgood,05/10/2014,05/10/2014,Null
777,closed,XXX,hassaku,25/09/2014,26/09/2014,Null
776,closed,XXX,technicalpickles,25/09/2014,25/09/2014,25/09/2014
775,open,XXX,therealklanni,24/09/2014,Null,Null
773,open,XXX,Mumakil,23/09/2014,Null,Null
772,open,XXX,therealklanni,23/09/2014,Null,Null
770,closed,XXX,shokai,20/09/2014,20/02/2015,Null
769,closed,XXX,unok,18/09/2014,25/09/2014,25/09/2014
764,closed,XXX,technicalpickles,11/09/2014,20/10/2014,20/10/2014
762,closed,XXX,bouzuya,09/09/2014,29/10/2014,29/10/2014
761,closed,XXX,drstevens,08/09/2014,09/09/2014,Null
